Wind Speed (m/s),Actual Blade Angle,Predicted Blade Angle,Power Output (Actual) (W),Power Output (Predicted) (W),Difference in Power Output (W)
6.798042774,7.02874267734703,7.53495683856525,406512.269481994,411408.496549754,4896.2270677599
9.022268295,0.720275580213683,1.2796800983901,807676.775439408,820325.559080295,12648.7836408865
7.975375175,3.67625043015391,3.46839711399776,604050.5883135,600804.308839388,-3246.27947411221
11.30628014,2.04438409215347,1.35476875087153,1648379.42814315,1617693.32632882,-30686.1018143324
11.23676014,2.02492127517458,2.08640738813522,1617309.19934721,1619995.01346102,2685.81411380461
8.906887054,2.64750782679242,2.52559356844429,819010.838918497,816358.628858134,-2652.21006036352
15.43144989,3.81072559437569,3.65001676145401,4390839.2986067,4372657.55507012,-18181.7435365859
12.49687958,8.84977644411028,7.88801416261688,2634800.3961584,2577011.01053818,-57789.3856202173
2.009414911,0.83075758049647,0.94041973850397,8950.35856529678,8977.75166835932,27.393103062539
10.6106596,1.41738711558234,2.04489018031344,1339403.75084656,1362482.83545802,23079.0846114524
4.039244175,1.39461654440879,2.17561568657363,73843.6323883176,75428.2572319188,1584.62484360125
8.479270935,0.383991124546978,1.3189368698377,664137.397487667,681685.797606917,17548.4001192501
5.355059147,1.23697643276699,1.01289276112183,171324.846394407,170265.400921761,-1059.44547264677
10.42780018,6.27970214804847,5.91514249734174,1441087.12501658,1428360.23524761,-12726.8897689674
6.714517117,1.25492869884537,1.004836402477,337899.067129851,335568.18532503,-2330.88180482131
6.908148766,1.57473607353162,1.25825285237831,371228.941340754,368016.676708012,-3212.26463274134
5.251326084,2.91874275960347,3.5866076396047,169058.289891353,172035.922752424,2977.63286107124
12.35151005,5.50218060650096,5.44924677863438,2349709.40781224,2346638.48393933,-3070.92387291556
11.03456974,2.3440107637237,1.50296109101272,1544766.17927943,1509975.45747619,-34790.7218032409
6.877319813,2.00902096166384,1.44709830139881,370630.230584731,365002.804629298,-5627.42595543253
10.65649033,7.00054685303524,6.95136257269468,1564851.43375893,1563018.93162798,-1832.50213095173
